title,description,subjects
Fledgling,"Shori is a mystery. Found alone in the woods, she appears to be a little black girl with traumatic amnesia and near-fatal wounds. But Shori is a fifty-three-year-old vampire with a ravenous hunger for blood, the lost child of an ancient species of near-immortals who live in dark symbiosis with humanity. Genetically modified to be able to walk in daylight, Shori now becomes the target of a vast plot to destroy her and her kind. And in the final apocalyptic battle, her survival will depend on whether all humans are bigots-or all bigots are human.",['horror']
The Collected Writings of Ambrose Bierce,"Contains:
IN THE MIDST OF LIFE	
TALES OF SOLDIERS AND CIVILIANS	
Soldiers	
A HORSEMAN IN THE SKY	
[Occurrence at Owl Creek Bridge](https://openlibrary.org/works/OL14863196W/An_Occurrence_at_Owl_Creek_Bridge)
CHICKAMAUGA	
A SON OF THE GODS	
ONE OF THE MISSING	
KILLED AT RESACA	
THE AFFAIR AT COULTER'S NOTCH	
THE COUP DE GRACE	
PARKER ADDERSON, PHILOSOPHER	
AN AFFAIR OF OUTPOSTS	
THE STORY OF A CONSCIENCE	
ONE KIND OF OFFICER	
ONE OFFICER, ONE MAN	
GEORGE THURSTON	
THE MOCKING-BIRD	
Civilians	
THE MAN OUT OF THE NOSE	
AN ADVENTURE AT BROWNVILLE	
THE FAMOUS GILSON BEQUEST	
THE APPLICANT	
[Watcher by the Dead](https://openlibrary.org/works/OL20084267W)
THE MAN AND THE SNAKE	
A HOLY TERROR	
THE SUITABLE SURROUNDINGS	
THE BOARDED WINDOW	
A LADY FROM REDHORSE	
[Eyes of the Panther](https://openlibrary.org/works/OL20084430W)
THE DEVIL'S DICTIONARY	
CAN SUCH THINGS BE?	
THE DEATH OF HALPIN FRAYSER	
THE SECRET OF MACARGER'S GULCH	
ONE SUMMER NIGHT	
THE MOONLIT ROAD	
A DIAGNOSIS OF DEATH	
MOXON'S MASTER	
A TOUGH TUSSLE	
ONE OF TWINS	
THE HAUNTED VALLEY	
A JUG OF SIRUP	
STALEY FLEMING'S HALLUCINATION	
A RESUMED IDENTITY	
A BABY TRAMP	
THE NIGHM)OINGS AT ""DEADMAN'S""	
BEYOND THE WALL	
A PSYCHOLOGICAL SHIPWRECK	
THE MIDDLE TOE OF THE RIGHT FOOT	
JOHN MORTONSON'S FUNERAL	
THE REALM OF THE UNREAL	
JOHN BARTINE'S WATCH	
[Damned Thing](https://openlibrary.org/works/OL20084265W)
HAiTA THE SHEPHERD	
[Inhabitant of Carcosa](https://openlibrary.org/works/OL7973249W)
THE STRANGER",['horror']
Innocence,"He lives in solitude beneath the city, an exile from society, which will destroy him if he is ever seen. She dwells in seclusion, a fugitive from enemies who will do her harm if she is ever found. But the bond between them runs deeper than the tragedies that have scarred their lives. Something more than chance—and nothing less than destiny—has brought them together in a world whose hour of reckoning is fast approaching",['horror']
The Haunting Hour - Chills in the Dead of Night,"Ten terrifying tales that will haunt you forever...""Some stories are too terrifying to tell,"" says R. L. Stine. ""They are the ones that live in the darkest corners of my mind. The ones that give me chills in the dead of night. The ones that I must tell you now –– or they will haunt me forever!""Read the spine–chilling story of a baby–sitter who loves evil tricks...the terrifying tale of a boy who dared to lie down in an ancient mummy case...the frightful story of two boys just dying to have the scariest Halloween ever...Are you ready for these scares and more? R. L. Stine, the #1 best–selling children's author of all time, presents ten new stories that will give you chills in the dead of night and turn any hour into The Haunting Hour!",['horror']
The best ghost stories,"The Apparition of Mrs. Veal, Daniel Defoe
Canon Alberic's Scrap-Book, Montague Rhodes James
The Haunted and the Haunters, Edward Bulwer-Lytton
The Silent Woman, Leopold Kompert
The Man Who Went Too Far, E.F. Benson
The Woman's Ghost Story, Algernon Blackwood
The Phantom Rickshaw, Rudyard Kipling
The Rival Ghosts, Brander Matthews
[The Damned Thing](https://openlibrary.org/works/OL20084265W/The_Damned_Thing), Ambrose Bierce
The Interval, Vincent O'Sullivan
Dey Ain't No Ghosts, Ellis Parker Butler",['horror']
The Silver Eyes (Five Nights At Freddy's #1),"Ten years after the horrific murders at Freddy Fazbear's Pizza that ripped their town apart, Charlie, whose father owned the restaurant, and her childhood friends reunite on the anniversary of the tragedy and find themselves at the old pizza place which had been locked up and abandoned for years. After they discover a way inside, they realize that things are not as they used to be. The four adult-sized animatronic mascots that once entertained patrons have changed. They now have a dark secret . . . and a murderous agenda.","['horror', 'young_adult_fiction']"
Nouvelles histoires extraordinaires (Berenice / Black Cat / Cask of Amontillado / Colloquy of Monos and Una / Conversation of Eiros and Charmi / Devil in the Belfry / Fall of the House of Usher / Four Beasts in One / Hop-Frog / Imp of the Perverse / Island of the Fay / King Pest / Lionizing / Man of the Crowd / Masque of the Red Death / Oval Portrait / Pit and the Pendulum / Power of Words / Shadow / Silence / Some Words with a Mummy / Tell-Tale Heart / William Wilson),"Contains:
[Berenice](https://openlibrary.org/works/OL15645808W)
[Black Cat](https://openlibrary.org/works/OL41068W)
[Cask of Amontillado](https://openlibrary.org/works/OL41016W)
Colloquy of Monos and Una
Conversation of Eiros and Charmi
Devil in the Belfry
[Fall of the House of Usher](https://openlibrary.org/works/OL41078W)
Four Beasts in One
Hop-Frog
[Imp of the Perverse](https://openlibrary.org/works/OL15481077W)
[Island of the Fay](https://openlibrary.org/works/OL15645993W)
King Pest
Lionizing
Man of the Crowd
[Masque of the Red Death](https://openlibrary.org/works/OL41050W)
Oval Portrait
Pit and the Pendulum
Power of Words
Shadow
[Silence — A Fable](https://openlibrary.org/works/OL13370628W)
Some Words with a Mummy
[Tell-tale Heart](https://openlibrary.org/works/OL41059W)
[William Wilson](https://openlibrary.org/works/OL16088822W)",['horror']
The City of Mirrors,"""In The Passage and The Twelve, Justin Cronin brilliantly imagined the fall of civilization and humanity desperate fight to survive. Now all is quiet on the horizon--but does silence promise the nightmare end or the second coming of unspeakable darkness? At last, this bestselling epic races to its breathtaking finale""--",['horror']
The Summoning,"My name is Chloe Saunders and my life will never be the same again. All I wanted was to make friends, meet boys, and keep on being ordinary. I don't even know what that means anymore. It all started on the day that I saw my first ghost—and the ghost saw me. Now there are ghosts everywhere and they won't leave me alone. To top it all off, I somehow got myself locked up in Lyle House, a ""special home"" for troubled teens. Yet the home isn't what it seems. Don't tell anyone, but I think there might be more to my housemates than meets the eye. The question is, whose side are they on? It's up to me to figure out the dangerous secrets behind Lyle House...before its skeletons come back to haunt me.",['horror']
Books of Blood Volume One,"With the publication of Books of Blood, Clive Barker became an overnight literary sensation. His tour de force collection of brilliantly disturbing tales demonstrated a genius for dark invention that rivaled Poe and Sade. He was hailed by Stephen King as ""the future of horror"", and won both the British and World Fantasy Awards. Clive Barker's Books of Blood marked the beginning of a career that would transcend genre and media. As a screenwriter and director, he launched the phenomenal Hellraiser series of films. As a gifted artist, he inspired an acclaimed collection of graphic novels. But it is his powerful writing style and arresting imagery that have made Books of Blood a classic—and Clive Barker a cult phenomenon. Read him. And rediscover the true meaning of fear.",['horror']
The great and secret show,"To possess the greatest power of all, the Art, two man-spirits are preparing to fight using their mortal offspring. But an innocent passion between two of the children escalates the war to a new ferocity. Book One in a new three-volume series from master horror author Clive Barker.",['horror']
The Wolf Gift,"The novel tells the tale of Reuben Golding, a well to do journalist at the fictional *San Francisco Observer* who is attacked by and turned into a werewolf. He spends the duration of the story fleeing the authorities, the media, and DNA analysts.",['horror']
Goosebumps - The Barking Ghost,Two evil-looking dogs disappear in thin aiar. Could they be ghosts?,['horror']
Skin and Other Stories,"Who could imagine that a woman would kill her husband with a frozen leg of lamb--and then feed it to the police investigating the murder? Or that a greedy group of art dealers would stop at nothing to separate a poor man form a valuable picture--that's tattooed on his back?

These thirteen tales will keep readers spellbound from the opening lines until the surprise-twist endings that are always immensely satisfying. Roald Dahl is one of the few authors ever to be so hugely successful as an author for both children and adults. He was a master of the adult short story, and his popular anthologies showcase his skill as a sleight-of-hand artist. The stories in this new collection have been specially selected as Ain introduction for teenagers to the adult writings of one of the greatest storytellers ever.
--front flap

Contains:
[Skin](https://openlibrary.org/works/OL20504460W/Skin)
[Lamb to the Slaughter](https://openlibrary.org/works/OL20504418W/Lamb_to_the_Slaughter)
[Sound Machine](https://openlibrary.org/works/OL8318678W/The_Sound_Machine)
[An African Story](https://openlibrary.org/works/OL20504280W/An_African_Story)
[Galloping Foxley](https://openlibrary.org/works/OL20504444W/Galloping_Foxley)
[Wish](https://openlibrary.org/works/OL20504494W/The_Wish)
The surgeon --
[Dip in the Pool](https://openlibrary.org/works/OL20504442W/Dip_in_the_Pool)
[Champion of the World](https://openlibrary.org/works/OL20504277W/Champion_of_the_World)
Beware of the dog --
[My Lady Love, My Dove](https://openlibrary.org/works/OL20504441W/My_Lady_Love_My_Dove)",['horror']
